filename,mawb,consignee,shipper,wieght,Origin,nature OF good,dest,agent
/home/arya/Desktop/shipmnts/OTH-M/2008/8.jpg,[u'082-7150 5696\n'],"ZELIA LIGHTS & BEYONL
SR NO 127/1 Pl OT NO 2 |","U
DELTA LIGHT ASIA P
IINIT 1812 18/E MIR;",[u'40.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/3.jpg,[u'082-7165 7456\n'],"TOSHI AUTOMATIC SYST
N.122 RIII ANDCHALR R","U
ENTREMATIC BELGI!
WAVVERCTRAAT 21",[u'577.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/10.jpg,[u'082-7205 5406\n'],"ELCA COSMETICS PRIV/
19A.0E PARINEE CREQCI","U
ESTEE LAUDER N.V.
AAA7OE ElIIRO",[u'2210.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/4.jpg,[u'082-7205 5362\n'],"BOMBAY ELECTRICAL P!
QAN CHRI T AXYMI V/VIIAV 1","U
DELTA LIGHT ASIAP
1INIT BN7 E/E CHINA",[u'160.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/2.jpg,[u'065-2255 5002\n'],"TOSHI AUTOMATIC SYST
N.122 RIII ANPDCSHAHR R","U
ENTREMATIC BELGI!
WAVVERCTRAAT 21",[u'4512.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/7.jpg,[u'235-2911 2893\n'],"BOMBAY ELECTRICAL P!
QlLIPPI IEC INDIA PVT | T","U
DELTALIGHT ASIAP
IINIT 18412 18/E MIR,",[u'152.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/5.jpg,[u'082-7150 5582\n'],"ZELIA LIGHTS & BEYONL
SR NO 127/1 Pl OT NO 2 |","U
DELTA LIGHT ASIA P
IINIT 1812 18/E  MIR",[u'155.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/2008/9.jpg,[u'082-7150 5722\n'],"ZELIA LIGHTS & BEYONL
SR NO 127/1 Pl OT NO 2 |","U
DELTA LIGHT ASIAP
IINIT 1812 18/E MIR,",[u'12.0 kilos'],,,,
/home/arya/Desktop/shipmnts/OTH-M/1644/9.jpg,[u':58978151323'],Vs 4 s S S S S S S o T S 4 o,""" s s s S A . PV S S A v v A

WG00529418","[u' 136.0', u' 0.00']",,"Co

S S T T S S W S T S R A Gk Y",MAA,"Amamd = ""TraiA o"
/home/arya/Desktop/shipmnts/OTH-M/2110/6.jpg,[u'176-55499861'],"[u'', u'Jeena', u'&', u'Company']",None,"[u'72,70']",,AIR SPRING PARTS,Nyiregyhaza,
/home/arya/Desktop/shipmnts/OTH-M/2110/8.jpg,[u'235-70730520'],"[u'', u'Jeena', u'and', u'Company']",None,"[u'1330,00']",,ROBOTICSYSTEMS WI-,BOM,
